City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Padang,ID,77.49,overcast clouds,-0.9492,100.3543,Mercure Padang
4,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
24,Eydhafushi,MV,80.98,few clouds,5.1033,73.0708,Soneva Fushi
32,Pandan,PH,80.55,scattered clouds,14.0453,124.1694,Bonifacio Lodge
34,La Asuncion,VE,85.23,broken clouds,11.0333,-63.8628,Colinas de Matasiete
38,Ajdabiya,LY,78.76,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
45,Umred,IN,77.29,heavy intensity rain,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
46,Banjar,ID,76.35,broken clouds,-8.19,114.9675,The Hamsa Resort
54,Otukpo,NG,79.7,overcast clouds,7.1913,8.1329,Queen s Hotel
60,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Champerico,GT,84.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
75,Saint George,US,78.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
76,Atuona,PF,77.07,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
77,Hamilton,US,82.89,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
80,Nuevo Progreso,MX,83.8,light rain,23.1667,-97.95,Balneario Rio el Paraiso
82,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
89,Mogadishu,SO,76.84,scattered clouds,2.0371,45.3438,Hotel Juba
